insdcAccessionBase	geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
OQ721613	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
OQ721703	USA	Story, Iowa		USA	Iowa	Story	USA	Story	Iowa
OQ721817	USA	Story, Iowa		USA	Iowa	Story	USA	Story	Iowa
OK631661	USA	Erie County, NY		USA	New York	Erie County	USA	Erie County	NY
OQ721350	USA	Fremont, Iowa		USA	Iowa	Fremont	USA	Fremont	Iowa
MH507815	USA	Fresno,California		USA	California	Fresno	USA	Fresno	California
OQ721317	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
OQ721251	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
OQ721133	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
MH507811	USA	Yuba_City,California		USA	California	Yuba_City	USA	Yuba_City	California
MH507812	USA	Pleasant_Grove,California		USA	California	Pleasant_Grove	USA	Pleasant_Grove	California
MH507814	USA	Marysville,California		USA	California	Marysville	USA	Marysville	California
MH507817	USA	Armona,California		USA	California	Armona	USA	Armona	California
OQ721149	USA	Kings, California		USA	California	Kings	USA	Kings	California
OQ721739	USA	Riverside, California		USA	California	Riverside	USA	Riverside	California
OQ721131	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
OQ721255	USA	Yolo, California		USA	California	Yolo	USA	Yolo	California
OQ721367	USA	Woodbury, Iowa		USA	Iowa	Woodbury	USA	Woodbury	Iowa
OQ721336	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
OQ721815	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
OQ721687	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
MH508035	USA	Buttonwillow,California		USA	California	Buttonwillow	USA	Buttonwillow	California
OQ721351	USA	Pottawattamie, Iowa		USA	Iowa	Pottawattamie	USA	Pottawattamie	Iowa
OQ721598	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
OQ721669	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
OQ721769	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
OZ187637	USA			USA			USA		
OZ188208	USA			USA			USA		
HQ671714	USA	Connecticut		USA	Connecticut		USA	Connecticut	
MH508036	USA	Delano,California		USA	California	Delano	USA	Delano	California
OQ721649	USA	Yolo, California		USA	California	Yolo	USA	Yolo	California
OQ721471	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
HQ671713	USA	Connecticut		USA	Connecticut		USA	Connecticut	
OQ721828	USA	Yolo, California		USA	California	Yolo	USA	Yolo	California
OQ721202	USA	Story, Iowa		USA	Iowa	Story	USA	Story	Iowa
OQ721256	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
OQ721260	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
KJ501277	USA			USA			USA		
OQ721670	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
MF175857	USA	Fort Bend Co. TX		USA	Texas	Fort Bend Co.	USA	Fort Bend Co. TX	
MF175870	USA	Dallas Co. TX		USA	Texas	Dallas Co.	USA	Dallas Co. TX	
OQ721648	USA	Yolo, California		USA	California	Yolo	USA	Yolo	California
KX547235	USA	Orange Co., NY		USA	New York	Orange Co.	USA	Orange Co.	NY
MH507675	USA	Oceanside,California		USA	California	Oceanside	USA	Oceanside	California
MH507676	USA	San_Marcos,California		USA	California	San_Marcos	USA	San_Marcos	California
OQ721403	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
OQ721565	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
MH507677	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
MF175861	USA	El Paso Co. TX		USA	Texas	El Paso Co.	USA	El Paso Co. TX	
MF175874	USA	Denton Co. TX		USA	Texas	Denton Co.	USA	Denton Co. TX	
MF175876	USA	Denton Co. TX		USA	Texas	Denton Co.	USA	Denton Co. TX	
OQ721216	USA	Yolo, California		USA	California	Yolo	USA	Yolo	California
MH507678	USA	National_City,California		USA	California	National_City	USA	National_City	California
MH507975	USA	Mira_Mesa,California		USA	California	Mira_Mesa	USA	Mira_Mesa	California
OQ721538	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
