insdcAccessionBase	geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
KR105318	Sierra Leone	Kenema		Sierra Leone		Kenema	Sierra Leone	Kenema	
KM233070	Sierra Leone			Sierra Leone			Sierra Leone		
KR105319	Sierra Leone	Bonthe		Sierra Leone		Bonthe	Sierra Leone	Bonthe	
KR105322	Sierra Leone	Moyamba		Sierra Leone		Moyamba	Sierra Leone	Moyamba	
KR817228	Sierra Leone			Sierra Leone			Sierra Leone		
KR653297	Sierra Leone	Western Urban		Sierra Leone		Western Urban	Sierra Leone	Western Urban	
KR105316	Sierra Leone	Kenema		Sierra Leone		Kenema	Sierra Leone	Kenema	
KP240931	Sierra Leone			Sierra Leone			Sierra Leone		
KM233077	Sierra Leone			Sierra Leone			Sierra Leone		
MH607918	Sierra Leone			Sierra Leone			Sierra Leone		
MH607914	Sierra Leone			Sierra Leone			Sierra Leone		
KM233084	Sierra Leone			Sierra Leone			Sierra Leone		
KM233082	Sierra Leone			Sierra Leone			Sierra Leone		
KM233081	Sierra Leone			Sierra Leone			Sierra Leone		
KM233080	Sierra Leone			Sierra Leone			Sierra Leone		
KM233079	Sierra Leone			Sierra Leone			Sierra Leone		
KY401660	Sierra Leone			Sierra Leone			Sierra Leone		
KM233060	Sierra Leone			Sierra Leone			Sierra Leone		
MH607916	Sierra Leone			Sierra Leone			Sierra Leone		
KR653286	Sierra Leone	Bo		Sierra Leone		Bo	Sierra Leone	Bo	
MH607917	Sierra Leone			Sierra Leone			Sierra Leone		
KR105313	Sierra Leone			Sierra Leone			Sierra Leone		
KR105314	Sierra Leone			Sierra Leone			Sierra Leone		
KR105315	Sierra Leone			Sierra Leone			Sierra Leone		
KM233078	Sierra Leone			Sierra Leone			Sierra Leone		
KY401661	Sierra Leone			Sierra Leone			Sierra Leone		
KR105312	Sierra Leone	Kenema		Sierra Leone		Kenema	Sierra Leone	Kenema	
KP759708	Sierra Leone	western area		Sierra Leone	Western Area (Freetown)		Sierra Leone	western area	
KP759645	Sierra Leone	Port Loko		Sierra Leone		Port Loko	Sierra Leone	Port Loko	
KU296599	Sierra Leone			Sierra Leone			Sierra Leone		
KU296315	Sierra Leone			Sierra Leone			Sierra Leone		
KU296303	Sierra Leone			Sierra Leone			Sierra Leone		
MH608084	Sierra Leone			Sierra Leone			Sierra Leone		
KU296767	Sierra Leone			Sierra Leone			Sierra Leone		
KU296381	Sierra Leone			Sierra Leone			Sierra Leone		
KU296328	Sierra Leone			Sierra Leone			Sierra Leone		
KU296296	Sierra Leone			Sierra Leone			Sierra Leone		
MH608083	Sierra Leone			Sierra Leone			Sierra Leone		
KU296807	Sierra Leone			Sierra Leone			Sierra Leone		
KU296558	Sierra Leone			Sierra Leone			Sierra Leone		
KU296512	Sierra Leone			Sierra Leone			Sierra Leone		
KU296507	Sierra Leone			Sierra Leone			Sierra Leone		
KU296316	Sierra Leone			Sierra Leone			Sierra Leone		
KU296458	Sierra Leone			Sierra Leone			Sierra Leone		
KU296367	Sierra Leone			Sierra Leone			Sierra Leone		
KU296364	Sierra Leone			Sierra Leone			Sierra Leone		
KU296361	Sierra Leone			Sierra Leone			Sierra Leone		
KU296329	Sierra Leone			Sierra Leone			Sierra Leone		
KU296309	Sierra Leone			Sierra Leone			Sierra Leone		
MH608082	Sierra Leone			Sierra Leone			Sierra Leone		
KU296620	Sierra Leone			Sierra Leone			Sierra Leone		
KU296395	Sierra Leone			Sierra Leone			Sierra Leone		
KU296380	Sierra Leone			Sierra Leone			Sierra Leone		
KU296312	Sierra Leone			Sierra Leone			Sierra Leone		
KU296794	Sierra Leone			Sierra Leone			Sierra Leone		
KU296779	Sierra Leone			Sierra Leone			Sierra Leone		
KU296435	Sierra Leone			Sierra Leone			Sierra Leone		
KU296758	Sierra Leone			Sierra Leone			Sierra Leone		
KU296384	Sierra Leone			Sierra Leone			Sierra Leone		
KU296479	Sierra Leone			Sierra Leone			Sierra Leone		
KT357827	Sierra Leone	Kono		Sierra Leone		Kono	Sierra Leone	Kono	
KP759682	Sierra Leone	western rural		Sierra Leone		western rural	Sierra Leone	western rural	
KU296429	Sierra Leone			Sierra Leone			Sierra Leone		
KU296350	Sierra Leone			Sierra Leone			Sierra Leone		
KT357826	Sierra Leone	Kono		Sierra Leone		Kono	Sierra Leone	Kono	
KT357825	Sierra Leone	Kono		Sierra Leone		Kono	Sierra Leone	Kono	
KU296839	Sierra Leone			Sierra Leone			Sierra Leone		
KU296582	Sierra Leone			Sierra Leone			Sierra Leone		
KU296530	Sierra Leone			Sierra Leone			Sierra Leone		
KU296387	Sierra Leone			Sierra Leone			Sierra Leone		
KU296834	Sierra Leone			Sierra Leone			Sierra Leone		
KU296815	Sierra Leone			Sierra Leone			Sierra Leone		
KU296400	Sierra Leone			Sierra Leone			Sierra Leone		
KU296756	Sierra Leone			Sierra Leone			Sierra Leone		
KU296664	Sierra Leone			Sierra Leone			Sierra Leone		
KU296528	Sierra Leone			Sierra Leone			Sierra Leone		
KU296378	Sierra Leone			Sierra Leone			Sierra Leone		
KU296359	Sierra Leone			Sierra Leone			Sierra Leone		
KU296358	Sierra Leone			Sierra Leone			Sierra Leone		
KR653248	Sierra Leone	Western Rural		Sierra Leone		Western Rural	Sierra Leone	Western Rural	
KU296696	Sierra Leone			Sierra Leone			Sierra Leone		
KU296656	Sierra Leone			Sierra Leone			Sierra Leone		
KU296644	Sierra Leone			Sierra Leone			Sierra Leone		
KU296572	Sierra Leone			Sierra Leone			Sierra Leone		
